№ п/п,Дата,Время начала,Время окон- чания,Тип занятий,Участвуют группы,Участвуют подгруппы,Дисциплина,Число сту- дентов,Поме- щение,Преподаватель
1,06.12.2021понедельник,12.2,13.5,лекция,"ЗАМ-1911, ЗАМ-1912, ЗВВ-1911",,Техники публичного выступления,67,535 (I),доц. Лапшина Светлана Сергеевна
2,06.12.2021понедельник,14.3,16.0,лекция,"ЗАМ-1911, ЗАМ-1912, ЗВВ-1911",,Техники публичного выступления,67,535 (I),доц. Лапшина Светлана Сергеевна
3,06.12.2021понедельник,16.1,17.4,лекция,"ЗАМ-1911, ЗАМ-1912, ЗВВ-1911",,Россия в глобальной истории,67,535 (I),доц. Ветерков Александр Иванович
4,06.12.2021понедельник,17.5,19.2,лекция,"ЗАМ-1911, ЗАМ-1912, ЗВВ-1911",,Россия в глобальной истории,67,535 (I),доц. Ветерков Александр Иванович
5,07.12.2021вторник,9.0,10.3,лекция,"ЗАМ-1911, ЗАМ-1912, ЗВВ-1911",,Физика,67,535 (I),доц. Климова Татьяна Федоровна
6,07.12.2021вторник,10.4,12.1,лекция,"ЗАМ-1911, ЗАМ-1912, ЗВВ-1911",,Физика,67,535 (I),доц. Климова Татьяна Федоровна
7,07.12.2021вторник,12.2,13.5,лекция,"ЗАМ-1911, ЗАМ-1912, ЗВВ-1911",,Математика,67,535 (I),доц. Головина Ольга Владимировна
8,07.12.2021вторник,14.3,16.0,лекция,"ЗАМ-1911, ЗАМ-1912, ЗВВ-1911",,Математика,67,535 (I),доц. Головина Ольга Владимировна
9,08.12.2021среда,9.0,10.3,лекция,"ЗАМ-1911, ЗАМ-1912, ЗВВ-1911",,Физика,67,535 (I),доц. Климова Татьяна Федоровна
10,08.12.2021среда,10.4,12.1,лекция,"ЗАМ-1911, ЗАМ-1912, ЗВВ-1911",,Физика,67,535 (I),доц. Климова Татьяна Федоровна
11,08.12.2021среда,12.2,13.5,лекция,"ЗАМ-1911, ЗАМ-1912, ЗВВ-1911",,Математика,67,535 (I),доц. Головина Ольга Владимировна
12,08.12.2021среда,14.3,16.0,лекция,"ЗАМ-1911, ЗАМ-1912, ЗВВ-1911",,Математика,67,535 (I),доц. Головина Ольга Владимировна
13,09.12.2021четверг,9.0,10.3,лекция,"ЗАМ-1911, ЗАМ-1912, ЗВВ-1911",,Тайм-менеджмент и личная эффективность,67,535 (I),доц. Мявлина Нурзидя Жаферовна
14,09.12.2021четверг,10.4,12.1,лекция,"ЗАМ-1911, ЗАМ-1912, ЗВВ-1911",,Тайм-менеджмент и личная эффективность,67,535 (I),доц. Мявлина Нурзидя Жаферовна
15,09.12.2021четверг,12.2,13.5,лекция,"ЗАМ-1911, ЗАМ-1912, ЗВВ-1911",,Инженерная и компьютерная графика,67,535 (I),ст. преп. Гусарова Ольга Федоровна
16,09.12.2021четверг,14.3,16.0,лекция,"ЗАМ-1911, ЗАМ-1912, ЗВВ-1911",,Инженерная и компьютерная графика,67,535 (I),ст. преп. Гусарова Ольга Федоровна
17,10.12.2021пятница,9.0,10.3,лекция,"ЗАМ-1911, ЗАМ-1912, ЗВВ-1911",,Россия в глобальной истории,67,535 (I),доц. Ветерков Александр Иванович
18,10.12.2021пятница,10.4,12.1,лекция,"ЗАМ-1911, ЗАМ-1912, ЗВВ-1911",,Россия в глобальной истории,67,535 (I),доц. Ветерков Александр Иванович
19,10.12.2021пятница,12.2,13.5,лекция,"ЗАМ-1911, ЗАМ-1912, ЗВВ-1911",,Инженерная и компьютерная графика,67,535 (I),ст. преп. Гусарова Ольга Федоровна
20,10.12.2021пятница,14.3,16.0,лекция,"ЗАМ-1911, ЗАМ-1912, ЗВВ-1911",,Инженерная и компьютерная графика,67,535 (I),ст. преп. Гусарова Ольга Федоровна
21,11.12.2021суббота,9.0,10.3,лекция,"ЗАМ-1911, ЗАМ-1912, ЗВВ-1911",,Информатика,67,535 (I),доц. Дорохов Виталий Сергеевич
22,11.12.2021суббота,10.4,12.1,лекция,"ЗАМ-1911, ЗАМ-1912, ЗВВ-1911",,Информатика,67,535 (I),доц. Дорохов Виталий Сергеевич
23,13.12.2021понедельник,9.0,10.3,прак. занятие,ЗАМ-1912,,Россия в глобальной истории,28,429а (I),доц. Ветерков Александр Иванович
24,13.12.2021понедельник,10.4,12.1,прак. занятие,ЗАМ-1912,,Россия в глобальной истории,28,429а (I),доц. Ветерков Александр Иванович
25,13.12.2021понедельник,12.2,13.5,прак. занятие,,ЗАМ-1912-1,Информатика,15,219б (I),доц. Дорохов Виталий Сергеевич
26,13.12.2021понедельник,12.2,13.5,прак. занятие,,ЗАМ-1912-2,Информатика,13,219а (I),асс. Малых Алексей Николаевич
27,13.12.2021понедельник,14.3,16.0,прак. занятие,,ЗАМ-1912-1,Информатика,15,219б (I),доц. Дорохов Виталий Сергеевич
28,13.12.2021понедельник,14.3,16.0,прак. занятие,,ЗАМ-1912-2,Информатика,13,219а (I),асс. Малых Алексей Николаевич
29,14.12.2021вторник,9.0,10.3,лабор. работа,,ЗАМ-1912-1,Физика,15,504 (I),доц. Климова Татьяна Федоровна
30,14.12.2021вторник,10.4,12.1,лабор. работа,,ЗАМ-1912-1,Физика,15,504 (I),доц. Климова Татьяна Федоровна
31,14.12.2021вторник,12.2,13.5,прак. занятие,ЗАМ-1912,,Математика,28,525 (I),доц. Головина Ольга Владимировна
32,14.12.2021вторник,14.3,16.0,прак. занятие,ЗАМ-1912,,Математика,28,525 (I),доц. Головина Ольга Владимировна
33,15.12.2021среда,9.0,10.3,лабор. работа,,ЗАМ-1912-2,Физика,13,504 (I),доц. Климова Татьяна Федоровна
34,15.12.2021среда,10.4,12.1,лабор. работа,,ЗАМ-1912-2,Физика,13,504 (I),доц. Климова Татьяна Федоровна
35,15.12.2021среда,12.2,13.5,прак. занятие,ЗАМ-1912,,Инженерная и компьютерная графика,28,446 (I),ст. преп. Гусарова Ольга Федоровна
36,15.12.2021среда,14.3,16.0,прак. занятие,ЗАМ-1912,,Инженерная и компьютерная графика,28,446 (I),ст. преп. Гусарова Ольга Федоровна
37,16.12.2021четверг,9.0,10.3,прак. занятие,ЗАМ-1912,,Математика,28,525 (I),доц. Головина Ольга Владимировна
38,16.12.2021четверг,10.4,12.1,прак. занятие,ЗАМ-1912,,Математика,28,525 (I),доц. Головина Ольга Владимировна
39,16.12.2021четверг,12.2,13.5,прак. занятие,,ЗАМ-1912-1,Информатика,15,219б (I),доц. Дорохов Виталий Сергеевич
40,16.12.2021четверг,12.2,13.5,прак. занятие,,ЗАМ-1912-2,Информатика,13,222в (I),асс. Малых Алексей Николаевич
41,16.12.2021четверг,14.3,16.0,прак. занятие,,ЗАМ-1912-1,Информатика,15,219б (I),доц. Дорохов Виталий Сергеевич
42,16.12.2021четверг,14.3,16.0,прак. занятие,,ЗАМ-1912-2,Информатика,13,222в (I),асс. Малых Алексей Николаевич
43,17.12.2021пятница,9.0,10.3,прак. занятие,ЗАМ-1912,,Тайм-менеджмент и личная эффективность,28,514 (I),доц. Мявлина Нурзидя Жаферовна
44,17.12.2021пятница,10.4,12.1,прак. занятие,ЗАМ-1912,,Тайм-менеджмент и личная эффективность,28,514 (I),доц. Мявлина Нурзидя Жаферовна
45,17.12.2021пятница,12.2,13.5,прак. занятие,ЗАМ-1912,,Техники публичного выступления,28,318 (I),доц. Лапшина Светлана Сергеевна
46,17.12.2021пятница,14.3,16.0,прак. занятие,ЗАМ-1912,,Техники публичного выступления,28,318 (I),доц. Лапшина Светлана Сергеевна
47,18.12.2021суббота,9.0,10.3,лекция,"ЗВВ-1911, ЗАМ-1911, ЗАМ-1912",,Правовая культура,67,535 (I),доц. Ордина Ольга Николаевна
48,18.12.2021суббота,10.4,12.1,лекция,"ЗВВ-1911, ЗАМ-1911, ЗАМ-1912",,Правовая культура,67,535 (I),доц. Ордина Ольга Николаевна
49,18.12.2021суббота,12.2,13.5,лекция,"ЗВВ-1911, ЗАМ-1911, ЗАМ-1912",,Основы комплексной безопасности,67,104 (III),доц. Шевченко Виктория Борисовна
50,18.12.2021суббота,14.3,16.0,лекция,"ЗВВ-1911, ЗАМ-1911, ЗАМ-1912",,Основы комплексной безопасности,67,104 (III),доц. Шевченко Виктория Борисовна
51,18.12.2021суббота,17.5,19.2,"вебинар Teams, прак. занятие",ЗАМ-1912,,Физическая культура и спорт,28,,доц. Никольская Татьяна Вячеславовна
52,18.12.2021суббота,19.3,21.0,"вебинар Teams, прак. занятие",ЗАМ-1912,,Физическая культура и спорт,28,,доц. Никольская Татьяна Вячеславовна
53,09.03.2022среда,12.2,13.5,прак. занятие,ЗАМ-1912,,Иностранный язык (английский),28,515 (I),ст. преп. Капитонова Ирина Владимировна
54,09.03.2022среда,14.3,16.0,прак. занятие,ЗАМ-1912,,Иностранный язык (английский),28,515 (I),ст. преп. Капитонова Ирина Владимировна
55,09.03.2022среда,16.1,17.4,лекция,"ЗВВ-1911, ЗАМ-1911, ЗАМ-1912",,Математика,67,535 (I),доц. Головина Ольга Владимировна
56,09.03.2022среда,17.5,19.2,лекция,"ЗВВ-1911, ЗАМ-1911, ЗАМ-1912",,Математика,67,535 (I),доц. Головина Ольга Владимировна
57,10.03.2022четверг,9.0,10.3,прак. занятие,ЗАМ-1912,,Иностранный язык (английский),28,515 (I),ст. преп. Капитонова Ирина Владимировна
58,10.03.2022четверг,10.4,12.1,прак. занятие,ЗАМ-1912,,Иностранный язык (английский),28,515 (I),ст. преп. Капитонова Ирина Владимировна
59,10.03.2022четверг,12.2,13.5,прак. занятие,ЗАМ-1912,,Иностранный язык (английский),28,515 (I),ст. преп. Капитонова Ирина Владимировна
60,10.03.2022четверг,14.3,16.0,прак. занятие,ЗАМ-1912,,Иностранный язык (английский),28,515 (I),ст. преп. Капитонова Ирина Владимировна
61,11.03.2022пятница,9.0,10.3,прак. занятие,ЗАМ-1912,,Иностранный язык (английский),28,515 (I),ст. преп. Капитонова Ирина Владимировна
62,11.03.2022пятница,10.4,12.1,прак. занятие,ЗАМ-1912,,Иностранный язык (английский),28,515 (I),ст. преп. Капитонова Ирина Владимировна
63,11.03.2022пятница,12.2,13.5,прак. занятие,ЗАМ-1912,,Иностранный язык (английский),28,515 (I),ст. преп. Капитонова Ирина Владимировна
64,11.03.2022пятница,14.3,16.0,прак. занятие,ЗАМ-1912,,Иностранный язык (английский),28,515 (I),ст. преп. Капитонова Ирина Владимировна
65,11.03.2022пятница,16.1,16.55,орг. собрание,"ЗАМ-1911, ЗАМ-1912",,Библиотечный урок,49,250 (I),Климова Анна Федоровна
66,12.03.2022суббота,9.0,10.3,лекция,"ЗВВ-1911, ЗАМ-1911, ЗАМ-1912",,Философия и основы критического мышления,67,535 (I),ст. преп. Вермишова Полина Ивановна
67,12.03.2022суббота,10.4,12.1,лекция,"ЗВВ-1911, ЗАМ-1911, ЗАМ-1912",,Философия и основы критического мышления,67,535 (I),ст. преп. Вермишова Полина Ивановна
68,12.03.2022суббота,12.2,13.5,лекция,"ЗВВ-1911, ЗАМ-1911, ЗАМ-1912",,Математика,67,536 (I),доц. Головина Ольга Владимировна
69,12.03.2022суббота,14.3,16.0,лекция,"ЗВВ-1911, ЗАМ-1911, ЗАМ-1912",,Математика,67,536 (I),доц. Головина Ольга Владимировна
70,14.03.2022понедельник,9.0,10.3,лекция,"ЗВВ-1911, ЗАМ-1911, ЗАМ-1912",,Управление конфликтами,67,535 (I),доц. Паньшин Александр Игоревич
71,14.03.2022понедельник,10.4,12.1,лекция,"ЗВВ-1911, ЗАМ-1911, ЗАМ-1912",,Управление конфликтами,67,535 (I),доц. Паньшин Александр Игоревич
72,14.03.2022понедельник,12.2,13.5,лекция,"ЗВВ-1911, ЗАМ-1911, ЗАМ-1912",,Философия и основы критического мышления,67,536 (I),ст. преп. Вермишова Полина Ивановна
73,14.03.2022понедельник,14.3,16.0,лекция,"ЗВВ-1911, ЗАМ-1911, ЗАМ-1912",,Философия и основы критического мышления,67,536 (I),ст. преп. Вермишова Полина Ивановна
74,14.03.2022понедельник,16.1,17.4,прак. занятие,ЗАМ-1912,,Философия и основы критического мышления,28,536 (I),ст. преп. Вермишова Полина Ивановна
75,15.03.2022вторник,9.0,10.3,лекция,"ЗВВ-1911, ЗАМ-1911, ЗАМ-1912",,История транспорта,67,536 (I),доц. Ветерков Александр Иванович
76,15.03.2022вторник,10.4,12.1,лекция,"ЗВВ-1911, ЗАМ-1911, ЗАМ-1912",,История транспорта,67,536 (I),доц. Ветерков Александр Иванович
77,15.03.2022вторник,12.2,13.5,прак. занятие,ЗАМ-1912,,Управление конфликтами,28,522 (I),доц. Паньшин Александр Игоревич
78,15.03.2022вторник,14.3,16.0,прак. занятие,ЗАМ-1912,,Управление конфликтами,28,522 (I),доц. Паньшин Александр Игоревич
79,15.03.2022вторник,16.1,17.4,зачет,ЗАМ-1912,,Техники публичного выступления,28,532 (I),доц. Лапшина Светлана Сергеевна
80,15.03.2022вторник,17.5,19.2,зачет,ЗАМ-1912,,Техники публичного выступления,28,532 (I),доц. Лапшина Светлана Сергеевна
81,16.03.2022среда,9.0,10.3,прак. занятие,,ЗАМ-1912-1,Информатика,15,219б (I),доц. Дорохов Виталий Сергеевич
82,16.03.2022среда,10.4,12.1,прак. занятие,,ЗАМ-1912-1,Информатика,15,219б (I),доц. Дорохов Виталий Сергеевич
83,16.03.2022среда,12.2,13.5,прак. занятие,ЗАМ-1912,,Инженерная и компьютерная графика,28,446 (I),ст. преп. Гусарова Ольга Федоровна
84,16.03.2022среда,14.3,16.0,прак. занятие,ЗАМ-1912,,Инженерная и компьютерная графика,28,446 (I),ст. преп. Гусарова Ольга Федоровна
85,16.03.2022среда,17.5,19.2,"прак. занятие, вебинар Teams",ЗАМ-1912,,Физическая культура и спорт,28,,доц. Никольская Татьяна Вячеславовна
86,16.03.2022среда,19.3,21.0,"прак. занятие, вебинар Teams",ЗАМ-1912,,Физическая культура и спорт,28,,доц. Никольская Татьяна Вячеславовна
87,17.03.2022четверг,9.0,10.3,прак. занятие,ЗАМ-1912,,История транспорта,28,521 (I),доц. Ветерков Александр Иванович
88,17.03.2022четверг,10.4,12.1,прак. занятие,ЗАМ-1912,,История транспорта,28,521 (I),доц. Ветерков Александр Иванович
89,17.03.2022четверг,12.2,13.5,прак. занятие,ЗАМ-1912,,Правовая культура,28,522 (I),доц. Ордина Ольга Николаевна
90,17.03.2022четверг,14.3,16.0,прак. занятие,ЗАМ-1912,,Правовая культура,28,522 (I),доц. Ордина Ольга Николаевна
91,17.03.2022четверг,16.1,17.4,зачет,ЗАМ-1912,,Тайм-менеджмент и личная эффективность,28,522 (I),доц. Мявлина Нурзидя Жаферовна
92,17.03.2022четверг,17.5,19.2,зачет,ЗАМ-1912,,Тайм-менеджмент и личная эффективность,28,522 (I),доц. Мявлина Нурзидя Жаферовна
93,18.03.2022пятница,9.0,10.3,прак. занятие,,ЗАМ-1912-2,Информатика,13,219б (I),доц. Дорохов Виталий Сергеевич
94,18.03.2022пятница,10.4,12.1,прак. занятие,,ЗАМ-1912-2,Информатика,13,219б (I),доц. Дорохов Виталий Сергеевич
95,18.03.2022пятница,12.2,13.5,прак. занятие,ЗАМ-1912,,Математика,28,522 (I),доц. Головина Ольга Владимировна
96,18.03.2022пятница,14.3,16.0,прак. занятие,ЗАМ-1912,,Математика,28,522 (I),доц. Головина Ольга Владимировна
97,18.03.2022пятница,16.1,17.4,прак. занятие,ЗАМ-1912,,Философия и основы критического мышления,28,521 (I),ст. преп. Вермишова Полина Ивановна
98,19.03.2022суббота,9.0,10.3,прак. занятие,ЗАМ-1912,,Физика,28,503 (I),доц. Климова Татьяна Федоровна
99,19.03.2022суббота,10.4,12.1,прак. занятие,ЗАМ-1912,,Физика,28,503 (I),доц. Климова Татьяна Федоровна
100,19.03.2022суббота,12.2,13.5,прак. занятие,ЗАМ-1912,,Философия и основы критического мышления,28,532 (I),ст. преп. Вермишова Полина Ивановна
101,19.03.2022суббота,14.3,16.0,прак. занятие,ЗАМ-1912,,Философия и основы критического мышления,28,532 (I),ст. преп. Вермишова Полина Ивановна
102,08.06.2022среда,16.1,17.4,прак. занятие,ЗАМ-1912,,Математика,28,524 (I),доц. Головина Ольга Владимировна
103,08.06.2022среда,17.5,19.2,прак. занятие,ЗАМ-1912,,Математика,28,524 (I),доц. Головина Ольга Владимировна
104,09.06.2022четверг,9.0,10.3,прак. занятие,ЗАМ-1912,,Основы комплексной безопасности,28,110 (III),асс. Самойлов Вадим Вадимович
105,09.06.2022четверг,10.4,12.1,прак. занятие,ЗАМ-1912,,Основы комплексной безопасности,28,110 (III),асс. Самойлов Вадим Вадимович
106,09.06.2022четверг,12.2,13.5,зачет,ЗАМ-1912,,Иностранный язык (английский),28,318 (I),ст. преп. Капитонова Ирина Владимировна
107,09.06.2022четверг,14.3,16.0,зачет,ЗАМ-1912,,Иностранный язык (английский),28,318 (I),ст. преп. Капитонова Ирина Владимировна
108,09.06.2022четверг,16.1,16.55,консультация,"ЗАМ-1911, ЗАМ-1912, ЗВВ-1911",,Информатика,67,526 (I),доц. Дорохов Виталий Сергеевич
109,10.06.2022пятница,12.2,13.5,зачет,ЗАМ-1912,,Управление конфликтами,28,429а (I),доц. Паньшин Александр Игоревич
110,10.06.2022пятница,14.3,16.0,зачет,ЗАМ-1912,,Управление конфликтами,28,429а (I),доц. Паньшин Александр Игоревич
111,10.06.2022пятница,16.1,16.55,консультация,"ЗАМ-1912, ЗАМ-1911, ЗВВ-1911",,Философия и основы критического мышления,67,526 (I),ст. преп. Вермишова Полина Ивановна
112,14.06.2022вторник,9.0,10.3,зачет,ЗАМ-1912,,История транспорта,28,532 (I),доц. Ветерков Александр Иванович
113,14.06.2022вторник,10.4,12.1,зачет,ЗАМ-1912,,История транспорта,28,532 (I),доц. Ветерков Александр Иванович
114,14.06.2022вторник,12.2,13.5,экзамен,ЗАМ-1912,,Философия и основы критического мышления,28,429а (I),ст. преп. Вермишова Полина Ивановна
115,14.06.2022вторник,14.3,16.0,экзамен,ЗАМ-1912,,Философия и основы критического мышления,28,429а (I),ст. преп. Вермишова Полина Ивановна
116,15.06.2022среда,9.0,10.3,защита к.р. №1,ЗАМ-1912,,Математика,28,522 (I),доц. Головина Ольга Владимировна
117,15.06.2022среда,10.4,12.1,защита к.р. №1,ЗАМ-1912,,Математика,28,522 (I),доц. Головина Ольга Владимировна
118,15.06.2022среда,12.2,13.5,зачет,ЗАМ-1912,,Основы комплексной безопасности,28,109 (III),доц. Климова Диана Викторовна
119,15.06.2022среда,14.3,16.0,зачет,ЗАМ-1912,,Основы комплексной безопасности,28,109 (III),доц. Климова Диана Викторовна
120,16.06.2022четверг,9.0,10.3,защита к.р. №1,ЗАМ-1912,,Инженерная и компьютерная графика,28,446 (I),ст. преп. Гусарова Ольга Федоровна
121,16.06.2022четверг,10.4,12.1,защита к.р. №1,ЗАМ-1912,,Инженерная и компьютерная графика,28,446 (I),ст. преп. Гусарова Ольга Федоровна
122,16.06.2022четверг,12.2,13.5,зачет,ЗАМ-1912,,Математика,28,526 (I),доц. Головина Ольга Владимировна
123,16.06.2022четверг,14.3,16.0,зачет,ЗАМ-1912,,Математика,28,526 (I),доц. Головина Ольга Владимировна
124,16.06.2022четверг,16.1,16.55,консультация,"ЗАМ-1912, ЗАМ-1911, ЗВВ-1911",,Инженерная и компьютерная графика,67,526 (I),ст. преп. Гусарова Ольга Федоровна
125,17.06.2022пятница,9.0,10.3,зачет,ЗАМ-1912,,Физика,28,503 (I),доц. Климова Татьяна Федоровна
126,17.06.2022пятница,10.4,12.1,зачет,ЗАМ-1912,,Физика,28,503 (I),доц. Климова Татьяна Федоровна
127,17.06.2022пятница,12.2,13.5,экзамен,ЗАМ-1912,,Информатика,28,222в (I),доц. Дорохов Виталий Сергеевич
128,17.06.2022пятница,14.3,16.0,экзамен,ЗАМ-1912,,Информатика,28,222в (I),доц. Дорохов Виталий Сергеевич
129,18.06.2022суббота,9.0,10.3,зачет,ЗАМ-1912,,Россия в глобальной истории,28,269 (II),доц. Ветерков Александр Иванович
130,18.06.2022суббота,10.4,12.1,зачет,ЗАМ-1912,,Россия в глобальной истории,28,269 (II),доц. Ветерков Александр Иванович
131,20.06.2022понедельник,9.0,10.3,экзамен,ЗАМ-1912,,Инженерная и компьютерная графика,28,526 (I),ст. преп. Гусарова Ольга Федоровна
132,20.06.2022понедельник,10.4,12.1,экзамен,ЗАМ-1912,,Инженерная и компьютерная графика,28,526 (I),ст. преп. Гусарова Ольга Федоровна
133,21.06.2022вторник,9.0,10.3,зачет,ЗАМ-1912,,Правовая культура,28,521 (I),доц. Ордина Ольга Николаевна
134,21.06.2022вторник,10.4,12.1,зачет,ЗАМ-1912,,Правовая культура,28,521 (I),доц. Ордина Ольга Николаевна
135,08.07.2022пятница,16.1,17.4,зачет,ЗАМ-1912,,Физическая культура и спорт,28,429а (I),ст. преп. Лонский Ярослав Александрович
136,08.07.2022пятница,17.5,19.2,зачет,ЗАМ-1912,,Физическая культура и спорт,28,429а (I),ст. преп. Лонский Ярослав Александрович
1,18.10.2021понедельник,10.4,12.1,лекция,"ЗАМ-2911, ЗВВ-2911, ЗВВ-2912",,Цифровые технологии,42,472 (II),ст. преп. Гусарова Елена Валентиновна
2,18.10.2021понедельник,12.2,13.5,лекция,"ЗЖУ-2911, ЗЖУ-2912, ЗЖУ-2913, ЗАМ-2911, ЗВВ-2911, ЗВВ-2912",,Философия,120,520 (I),проф. Баринова Галина Викторовна
3,18.10.2021понедельник,14.3,16.0,лекция,"ЗЖУ-2911, ЗЖУ-2912, ЗЖУ-2913, ЗАМ-2911, ЗВВ-2911, ЗВВ-2912",,Философия,120,520 (I),проф. Баринова Галина Викторовна
4,18.10.2021понедельник,16.1,17.4,лекция,"ЗВВ-2911, ЗВВ-2912, ЗАМ-2911",,Инженерное обеспечение строительства. Геология,42,373 (II),доц. Сычева Анна Вячеславовна
5,18.10.2021понедельник,17.5,19.2,лекция,"ЗВВ-2911, ЗВВ-2912, ЗАМ-2911",,Инженерное обеспечение строительства. Геология,42,373 (II),доц. Сычева Анна Вячеславовна
6,19.10.2021вторник,9.0,10.3,лекция,"ЗЖУ-2911, ЗЖУ-2912, ЗЖУ-2913, ЗАМ-2911, ЗВВ-2911, ЗВВ-2912",,Философия,120,520 (I),проф. Баринова Галина Викторовна
7,19.10.2021вторник,10.4,12.1,лекция,"ЗЖУ-2911, ЗЖУ-2912, ЗЖУ-2913, ЗАМ-2911, ЗВВ-2911, ЗВВ-2912",,Философия,120,520 (I),проф. Баринова Галина Викторовна
8,19.10.2021вторник,12.2,13.5,лекция,"ЗВВ-2911, ЗВВ-2912, ЗАМ-2911",,Математика,42,526 (I),доц. Головина Ольга Владимировна
9,19.10.2021вторник,14.3,16.0,лекция,"ЗВВ-2911, ЗВВ-2912, ЗАМ-2911",,Математика,42,526 (I),доц. Головина Ольга Владимировна
10,19.10.2021вторник,16.1,17.4,лекция,"ЗВВ-2911, ЗВВ-2912, ЗАМ-2911",,Инженерное обеспечение строительства. Геология,42,373 (II),доц. Сычева Анна Вячеславовна
11,19.10.2021вторник,17.5,19.2,лекция,"ЗАМ-2911, ЗВВ-2911, ЗВВ-2912",,Цифровые технологии,42,526 (I),ст. преп. Гусарова Елена Валентиновна
12,20.10.2021среда,9.0,10.3,лекция,"ЗАМ-2911, ЗВВ-2911, ЗВВ-2912",,Цифровые технологии,42,526 (I),ст. преп. Гусарова Елена Валентиновна
13,20.10.2021среда,10.4,12.1,лекция,"ЗАМ-2911, ЗВВ-2911, ЗВВ-2912",,Цифровые технологии,42,526 (I),ст. преп. Гусарова Елена Валентиновна
14,20.10.2021среда,12.2,13.5,лекция,"ЗВВ-2911, ЗВВ-2912, ЗАМ-2911",,Математика,42,526 (I),доц. Головина Ольга Владимировна
15,20.10.2021среда,14.3,16.0,лекция,"ЗВВ-2911, ЗВВ-2912, ЗАМ-2911",,Математика,42,526 (I),доц. Головина Ольга Владимировна
16,20.10.2021среда,16.1,17.4,выд. зад.,ЗАМ-2911,,Геологическая практика,10,274А (II),доц. Сычева Анна Вячеславовна
17,21.10.2021четверг,9.0,10.3,лекция,"ЗВВ-2912, ЗВВ-2911, ЗАМ-2911",,Механика. Теоретическая механика,42,526 (I),доц. Дубровин Валентин Сергеевич
18,21.10.2021четверг,10.4,12.1,лекция,"ЗВВ-2912, ЗВВ-2911, ЗАМ-2911",,Механика. Теоретическая механика,42,526 (I),доц. Дубровин Валентин Сергеевич
19,22.10.2021пятница,9.0,10.3,лекция,"ЗВВ-2911, ЗВВ-2912, ЗАМ-2911",,Механика. Механика грунтов,42,373 (II),ст. преп. Николаева Алина Андреевна
20,22.10.2021пятница,10.4,12.1,лекция,"ЗВВ-2911, ЗВВ-2912, ЗАМ-2911",,Механика. Механика грунтов,42,373 (II),ст. преп. Николаева Алина Андреевна
21,22.10.2021пятница,12.2,13.5,лекция,"ЗВВ-2911, ЗВВ-2912, ЗАМ-2911",,Механика. Теоретическая механика,42,526 (I),доц. Дубровин Валентин Сергеевич
22,22.10.2021пятница,14.3,16.0,лекция,"ЗВВ-2911, ЗВВ-2912, ЗАМ-2911",,Механика. Теоретическая механика,42,526 (I),доц. Дубровин Валентин Сергеевич
23,22.10.2021пятница,16.1,17.4,лекция,"ЗВВ-2911, ЗВВ-2912, ЗАМ-2911",,Механика. Теоретическая механика,42,526 (I),доц. Дубровин Валентин Сергеевич
24,23.10.2021суббота,12.2,13.5,прак. занятие,"ЗАМ-2911, ЗВВ-2912",,Механика. Теоретическая механика,18,446 (I),доц. Дубровин Валентин Сергеевич
25,23.10.2021суббота,14.3,16.0,прак. занятие,"ЗАМ-2911, ЗВВ-2912",,Механика. Теоретическая механика,18,446 (I),доц. Дубровин Валентин Сергеевич
26,25.10.2021понедельник,10.4,12.1,лабор. работа,ЗАМ-2911,,Инженерное обеспечение строительства. Геология,10,274А (II),доц. Сычева Анна Вячеславовна
27,25.10.2021понедельник,12.2,13.5,прак. занятие,ЗАМ-2911,,Цифровые технологии,10,219а (I),ст. преп. Гусарова Елена Валентиновна
28,25.10.2021понедельник,14.3,16.0,прак. занятие,ЗАМ-2911,,Цифровые технологии,10,219а (I),ст. преп. Гусарова Елена Валентиновна
29,25.10.2021понедельник,16.1,17.4,прак. занятие,ЗАМ-2911,,Цифровые технологии,10,219б (I),ст. преп. Гусарова Елена Валентиновна
30,25.10.2021понедельник,17.5,19.2,прак. занятие,ЗАМ-2911,,Цифровые технологии,10,219б (I),ст. преп. Гусарова Елена Валентиновна
31,26.10.2021вторник,9.0,10.3,прак. занятие,ЗАМ-2911,,Иностранный язык (английский),10,532 (I),доц. Мурай Ольга Викторовна
32,26.10.2021вторник,10.4,12.1,прак. занятие,ЗАМ-2911,,Иностранный язык (английский),10,532 (I),доц. Мурай Ольга Викторовна
33,26.10.2021вторник,12.2,13.5,прак. занятие,ЗАМ-2911,,Иностранный язык (английский),10,532 (I),доц. Мурай Ольга Викторовна
34,26.10.2021вторник,14.3,16.0,прак. занятие,ЗАМ-2911,,Иностранный язык (английский),10,532 (I),доц. Мурай Ольга Викторовна
35,27.10.2021среда,9.0,10.3,прак. занятие,ЗАМ-2911,,Иностранный язык (английский),10,337 (I),доц. Мурай Ольга Викторовна
36,27.10.2021среда,10.4,12.1,прак. занятие,ЗАМ-2911,,Иностранный язык (английский),10,337 (I),доц. Мурай Ольга Викторовна
37,27.10.2021среда,12.2,13.5,прак. занятие,ЗАМ-2911,,Иностранный язык (английский),10,337 (I),доц. Мурай Ольга Викторовна
38,27.10.2021среда,14.3,16.0,прак. занятие,ЗАМ-2911,,Иностранный язык (английский),10,337 (I),доц. Мурай Ольга Викторовна
